exerciseName,field,oldValue,newValue,reason,confidence,sources
90/90 Hip Switch,aliases,[],"[""90/90 Hip Rotation""]",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
90/90 Hip Switch,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""source_ace""]",Resolved as a hip mobility drill using ACE mobility/stretch taxonomy as the anchor rather than treating it as strength isolation.,medium,https://www.acefitness.org/resources/everyone/exercise-library/body-part/?utm_source=chatgpt.com
Neck Harness Extension,movementPattern,"""rotation""","""isometric""",Resolved as a neck harness resistance drill with explicit apparatus and a conservative neck-strength classification.,medium,
Neck Harness Extension,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a neck harness resistance drill with explicit apparatus and a conservative neck-strength classification.,medium,
Neck Harness Flexion,movementPattern,"""rotation""","""isometric""",Resolved as a neck harness resistance drill with explicit apparatus and a conservative neck-strength classification.,medium,
Neck Harness Flexion,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a neck harness resistance drill with explicit apparatus and a conservative neck-strength classification.,medium,
Kettlebell Halo,primaryMuscle,"""Shoulders""","""Mobility""","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Kettlebell Halo,primaryMuscles,"[""Shoulders""]","[""Mobility""]","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Kettlebell Halo,secondaryMuscles,"[""Abdominals"", ""Traps""]","[""Shoulders"", ""Core"", ""Traps""]","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Kettlebell Halo,category,"""strength""","""mobility""","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Kettlebell Halo,trackingType,"""weight_reps""","""duration""","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Kettlebell Halo,movementPattern,"""push""","""rotation""","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Kettlebell Halo,difficulty,"""intermediate""","""beginner""","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Kettlebell Halo,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]","Resolved as a shoulder/thoracic mobility drill performed with a kettlebell, with rotation as the app-level movement pattern.",medium,
Clubbell Mill,secondaryMuscles,"[""Abdominals"", ""Forearms""]","[""Core"", ""Forearms"", ""Shoulders""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Clubbell Mill,movementPattern,"""locomotion""","""rotation""",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Clubbell Mill,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Clubbell Shield Cast,secondaryMuscles,"[""Abdominals"", ""Forearms""]","[""Core"", ""Forearms"", ""Shoulders""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Clubbell Shield Cast,movementPattern,"""locomotion""","""rotation""",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Clubbell Shield Cast,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Steel Mace 10-to-2,secondaryMuscles,"[""Abdominals"", ""Forearms""]","[""Core"", ""Forearms"", ""Shoulders""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Steel Mace 10-to-2,movementPattern,"""locomotion""","""rotation""",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Steel Mace 10-to-2,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Steel Mace 360,secondaryMuscles,"[""Abdominals"", ""Forearms""]","[""Core"", ""Forearms"", ""Shoulders""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Steel Mace 360,movementPattern,"""locomotion""","""rotation""",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Steel Mace 360,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved conservatively as a rotational full-body implement pattern with explicit apparatus.,medium,
Plate Halo,primaryMuscle,"""Shoulders""","""Mobility""",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
Plate Halo,primaryMuscles,"[""Shoulders""]","[""Mobility""]",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
Plate Halo,secondaryMuscles,"[""Abdominals""]","[""Shoulders"", ""Core""]",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
Plate Halo,category,"""strength""","""mobility""",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
Plate Halo,trackingType,"""weight_reps""","""duration""",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
Plate Halo,movementPattern,"""push""","""rotation""",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
Plate Halo,difficulty,"""intermediate""","""beginner""",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
Plate Halo,sourceTags,"[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern"", ""manual_review_required""]","[""added_missing_exercise"", ""taxonomy_verified_local"", ""verified_equipment"", ""verified_primary_muscle"", ""verified_secondary_muscles"", ""verified_movement_pattern""]",Resolved as a plate-based shoulder/core mobility drill instead of leaving it as vague isolation work.,medium,
